Locality,Length/mm,Width/mm
Harper's Quarry,2.3,2.1
Harper's Quarry,2.95,2.85
Harper's Quarry,3.1,2.8
Harper's Quarry,3.7,3.5
Harper's Quarry,3.5,4.6
Harper's Quarry,2.35,2.3
Harper's Quarry,4,3.9
Harper's Quarry,4,4.2
Harper's Quarry,2.75,2.55
Harper's Quarry,2.95,2.7
Harper's Quarry,5,5.1
Harper's Quarry,2.7,2.7
Harper's Quarry,3,2.9
Harper's Quarry,3.2,3.4
Harper's Quarry,2.3,2.2
Harper's Quarry,2.75,2.7
Harper's Quarry,3.4,3.2
Harper's Quarry,3.5,3.2
Harper's Quarry,3.75,3.6
Harper's Quarry,2.8,2.75
Harper's Quarry,2.8,2.6
Harper's Quarry,2.5,2.7
Harper's Quarry,3.6,4
Harper's Quarry,3.3,3.2
Harper's Quarry,3.35,3.3
Harper's Quarry,3.7,4.1
Harper's Quarry,3.6,3.45
Pen Cerrig Wood,3,3.2
Pen Cerrig Wood,3.3,3.3
Pen Cerrig Wood,3.3,3.2
Pen Cerrig Wood,2.95,2.9
Pen Cerrig Wood,3.4,3.4
Pen Cerrig Wood,2.3,2.7
Pen Cerrig Wood,4.4,3.9
Pen Cerrig Wood,2.7,2.5
Pen Cerrig Wood,2.8,2.8
Pen Cerrig Wood,3.9,3.6
Pen Cerrig Wood,2.7,3
Pen Cerrig Wood,3.7,3.55
Pen Cerrig Wood,3.8,4
Pen Cerrig Wood,3.1,3.1
Pen Cerrig Wood,2.7,2.2
Pen Cerrig Wood,3.5,3.2
Pen Cerrig Wood,3,3.1
Pen Cerrig Wood,3.3,3.2
Pen Cerrig Wood,3.3,3.3
Pen Cerrig Wood,3.4,3.25
Pen Cerrig Wood,3.1,3
Pen Cerrig Wood,4,4
Pen Cerrig Wood,3.7,3.6
Pen Cerrig Wood,3.2,3.5
Pen Cerrig Wood,3.25,3.2
Pen Cerrig Wood,3.8,3.75
Rorrington Fm,3.45,3.65
Rorrington Fm,5.5,4.65
Rorrington Fm,3.6,3.5
Rorrington Fm,4,3.75
Rorrington Fm,4.75,4.35
Rorrington Fm,4.87,4.16
Rorrington Fm,3.6,3.3
Rorrington Fm,4,3.4
Rorrington Fm,5.25,4.5
Rorrington Fm,4.4,4.45
Rorrington Fm,3.5,2.7
Rorrington Fm,3.3,2.7
Rorrington Fm,2.6,2.7
Rorrington Fm,5.15,4.15
Rorrington Fm,4.05,3.45
Rorrington Fm,3.4,3.75
Rorrington Fm,3.5,3.25
Rorrington Fm,2.1,2.3
Rorrington Fm,4.65,4.5
Rorrington Fm,5.1,5.25
Rorrington Fm,3.9,3.25
Rorrington Fm,3.35,3.5
